filename,angle
104.jpg,2.12
105.jpg,2.12
106.jpg,2.52
107.jpg,3.33
108.jpg,3.43
109.jpg,3.63
110.jpg,3.73
111.jpg,5.04
112.jpg,5.55
113.jpg,5.65
114.jpg,5.65
115.jpg,5.65
116.jpg,5.65
117.jpg,5.65
118.jpg,5.55
119.jpg,5.75
120.jpg,8.47
121.jpg,14.22
122.jpg,16.64
123.jpg,17.45
124.jpg,18.05
125.jpg,18.45
126.jpg,0.0
127.jpg,20.27
128.jpg,20.77
129.jpg,22.08
130.jpg,0.0
131.jpg,24.1
132.jpg,24.81
133.jpg,0.0
134.jpg,18.55
135.jpg,12.81
136.jpg,9.78
137.jpg,7.66
138.jpg,6.96
139.jpg,6.66
140.jpg,4.74
141.jpg,4.64
142.jpg,3.83
143.jpg,3.43
144.jpg,2.92
145.jpg,2.72
146.jpg,-10.0
147.jpg,-1.01
148.jpg,-2.52
149.jpg,-5.85
150.jpg,-7.16
151.jpg,-7.16
152.jpg,-7.26
153.jpg,-7.26
154.jpg,-7.36
155.jpg,-8.17
156.jpg,-9.88
157.jpg,-10.08
158.jpg,-11.19
159.jpg,-12.4
160.jpg,-15.63
161.jpg,-16.74
162.jpg,-16.34
163.jpg,-16.34
164.jpg,-14.42
165.jpg,-7.87
166.jpg,-4.34
167.jpg,-2.32
168.jpg,-1.71
169.jpg,-0.71
170.jpg,-0.5
171.jpg,-1.01
172.jpg,-2.02
173.jpg,-2.12
174.jpg,-2.12
175.jpg,0.0
176.jpg,-1.92
177.jpg,-1.92
178.jpg,-1.82
179.jpg,-1.82
180.jpg,-1.82
181.jpg,-1.82
182.jpg,-1.51
183.jpg,-1.51
184.jpg,-1.21
185.jpg,-1.01
186.jpg,0.5
187.jpg,1.11
188.jpg,1.51
189.jpg,1.71
190.jpg,1.71
191.jpg,2.02
192.jpg,2.32
193.jpg,2.92
194.jpg,3.83
195.jpg,3.83
196.jpg,3.43
197.jpg,3.23
198.jpg,3.03
199.jpg,2.82
200.jpg,2.62
201.jpg,2.52
202.jpg,2.32
203.jpg,2.32
204.jpg,2.22
205.jpg,2.12
206.jpg,2.02
207.jpg,0.71
208.jpg,0.71
209.jpg,-0.3
210.jpg,-0.4
211.jpg,-0.4
212.jpg,-0.4
213.jpg,-0.91
214.jpg,-1.31
215.jpg,-5.14
216.jpg,-10.69
217.jpg,-10.79
218.jpg,-10.79
219.jpg,-7.36
220.jpg,-2.22
221.jpg,-1.51
222.jpg,0.0
223.jpg,2.92
224.jpg,2.92
225.jpg,2.72
226.jpg,2.62
227.jpg,2.72
228.jpg,2.72
229.jpg,2.72
230.jpg,2.72
231.jpg,2.82
232.jpg,3.23
233.jpg,4.13
234.jpg,4.24
235.jpg,5.24
236.jpg,6.96
237.jpg,7.46
238.jpg,7.87
239.jpg,7.87
240.jpg,7.87
241.jpg,7.87
242.jpg,7.87
243.jpg,7.97
244.jpg,7.97
245.jpg,7.97
246.jpg,0.0
247.jpg,8.07
248.jpg,7.46
249.jpg,7.56
250.jpg,6.66
251.jpg,5.95
252.jpg,5.45
253.jpg,5.14
254.jpg,5.14
255.jpg,5.65
256.jpg,8.37
257.jpg,15.43
258.jpg,29.65
259.jpg,44.17
260.jpg,66.66
261.jpg,92.47
262.jpg,119.9
263.jpg,142.99
264.jpg,161.65
265.jpg,179.29
266.jpg,195.23
267.jpg,206.82
268.jpg,217.21
269.jpg,234.76
270.jpg,258.66
271.jpg,281.24
272.jpg,300.91
273.jpg,324.1
274.jpg,359.29
275.jpg,397.92
276.jpg,427.87
277.jpg,446.82
278.jpg,461.95
279.jpg,481.51
280.jpg,491.19
281.jpg,499.46
282.jpg,501.78
283.jpg,0.0
284.jpg,498.55
285.jpg,494.12
286.jpg,482.52
287.jpg,470.12
288.jpg,454.79
289.jpg,440.47
290.jpg,429.68
291.jpg,418.08
292.jpg,404.97
293.jpg,396.1
294.jpg,381.18
295.jpg,360.1
296.jpg,335.9
297.jpg,321.38
298.jpg,311.8
299.jpg,305.85
300.jpg,294.45
301.jpg,285.48
302.jpg,271.56
303.jpg,256.13
304.jpg,235.87
305.jpg,219.63
306.jpg,204.81
307.jpg,194.42
308.jpg,177.31
309.jpg,163.56
310.jpg,153.18
311.jpg,136.34
312.jpg,126.35
313.jpg,108.2
314.jpg,92.77
315.jpg,74.62
316.jpg,62.22
317.jpg,53.24
318.jpg,49.11
319.jpg,46.79
320.jpg,46.39
321.jpg,43.56
322.jpg,35.5
323.jpg,27.23
324.jpg,19.26
325.jpg,14.02
326.jpg,10.49
327.jpg,8.97
328.jpg,9.08
329.jpg,9.38
330.jpg,8.07
331.jpg,6.76
332.jpg,6.05
333.jpg,5.55
334.jpg,5.04
335.jpg,3.83
336.jpg,2.12
337.jpg,0.61
338.jpg,-0.71
339.jpg,-1.21
340.jpg,-1.61
341.jpg,-1.82
342.jpg,-1.82
343.jpg,-1.51
344.jpg,-1.51
345.jpg,-1.51
346.jpg,-1.51
347.jpg,-1.61
348.jpg,-1.71
349.jpg,-1.71
350.jpg,-1.71
351.jpg,-1.71
352.jpg,-1.71
353.jpg,0.0
354.jpg,-1.71
355.jpg,-1.92
356.jpg,-2.32
357.jpg,-2.62
358.jpg,-2.62
359.jpg,-2.62
360.jpg,-2.72
361.jpg,0.0
362.jpg,-2.82
363.jpg,-2.82
364.jpg,-2.82
365.jpg,-2.82
366.jpg,-2.82
367.jpg,-2.82
368.jpg,-2.62
369.jpg,-1.92
370.jpg,-1.51
371.jpg,-1.51
372.jpg,-1.51
373.jpg,-1.51
374.jpg,-1.51
375.jpg,-1.41
376.jpg,-1.01
377.jpg,-0.5
378.jpg,-0.5
379.jpg,-0.5
380.jpg,-0.5
381.jpg,-0.5
382.jpg,-0.4
383.jpg,-1.11
384.jpg,-2.52
385.jpg,-3.43
386.jpg,-4.03
387.jpg,-4.03
388.jpg,-4.03
389.jpg,-3.73
390.jpg,-3.43
391.jpg,-3.03
392.jpg,-2.82
393.jpg,-2.72
394.jpg,-2.72
395.jpg,0.0
396.jpg,0.0
397.jpg,-2.72
398.jpg,-2.72
399.jpg,-2.82
400.jpg,-3.03
401.jpg,-3.13
402.jpg,-3.23
403.jpg,-3.13
404.jpg,-3.13
405.jpg,-3.13
406.jpg,-3.13
407.jpg,-3.13
408.jpg,-3.13
409.jpg,-3.13
410.jpg,-3.03
411.jpg,-2.62
412.jpg,-2.22
413.jpg,-1.71
414.jpg,-1.51
415.jpg,-1.41
416.jpg,-1.41
417.jpg,-1.41
418.jpg,-1.41
419.jpg,-1.31
420.jpg,-1.11
421.jpg,-0.61
422.jpg,-0.1
423.jpg,0.4
424.jpg,0.5
425.jpg,0.5
426.jpg,0.5
427.jpg,0.5
428.jpg,0.5
429.jpg,0.5
430.jpg,0.5
431.jpg,0.5
432.jpg,0.71
433.jpg,1.11
434.jpg,1.61
435.jpg,2.12
436.jpg,2.12
437.jpg,2.12
438.jpg,2.12
439.jpg,2.12
440.jpg,2.12
441.jpg,1.92
442.jpg,1.92
443.jpg,1.92
444.jpg,1.92
445.jpg,1.61
446.jpg,0.1
447.jpg,-2.02
448.jpg,-5.65
449.jpg,-9.68
450.jpg,-13.11
451.jpg,-15.33
452.jpg,-16.64
453.jpg,-17.55
454.jpg,-19.36
455.jpg,-21.98
456.jpg,-25.82
457.jpg,-30.76
458.jpg,-35.19
459.jpg,-43.87
460.jpg,-53.24
461.jpg,-60.5
462.jpg,-65.24
463.jpg,-68.87
464.jpg,-72.61
465.jpg,-75.43
466.jpg,-78.15
467.jpg,-81.98
468.jpg,-84.61
469.jpg,-88.24
470.jpg,-91.16
471.jpg,-94.69
472.jpg,-98.72
473.jpg,-99.73
474.jpg,-100.34
475.jpg,-100.34
476.jpg,-100.44
477.jpg,-100.84
478.jpg,-101.45
479.jpg,-101.85
480.jpg,-101.85
481.jpg,-101.85
482.jpg,-101.85
483.jpg,-101.85
484.jpg,-101.85
485.jpg,-101.85
486.jpg,-101.85
487.jpg,-101.85
488.jpg,-101.45
489.jpg,-100.94
490.jpg,-99.83
491.jpg,-98.62
492.jpg,-97.21
493.jpg,-96.61
494.jpg,-96.61
495.jpg,-96.61
496.jpg,-96.71
497.jpg,-97.21
498.jpg,-97.61
499.jpg,-98.22
500.jpg,-99.23
501.jpg,-99.73
502.jpg,-99.73
503.jpg,-99.03
504.jpg,-97.92
505.jpg,-95.6
506.jpg,-94.29
507.jpg,-93.88
508.jpg,-93.88
509.jpg,-94.59
510.jpg,-95.29
511.jpg,-95.7
512.jpg,-95.8
513.jpg,-95.7
514.jpg,-95.7
515.jpg,-95.7
516.jpg,-95.8
517.jpg,-96.3
518.jpg,-97.21
519.jpg,-98.22
520.jpg,-99.43
521.jpg,-100.54
522.jpg,-101.55
523.jpg,-102.15
524.jpg,-102.25
525.jpg,-102.25
526.jpg,-102.25
527.jpg,-102.25
528.jpg,-102.25
529.jpg,-102.15
530.jpg,-102.05
531.jpg,-102.05
532.jpg,-102.05
533.jpg,-102.05
534.jpg,-102.05
535.jpg,-101.95
536.jpg,-101.85
537.jpg,-101.75
538.jpg,-101.75
539.jpg,-101.75
540.jpg,-101.75
541.jpg,-101.75
542.jpg,-101.75
543.jpg,-101.65
544.jpg,-101.85
545.jpg,-101.95
546.jpg,-102.05
547.jpg,-102.15
548.jpg,-102.15
549.jpg,-102.15
550.jpg,-102.25
551.jpg,-102.35
552.jpg,-102.55
553.jpg,-102.86
554.jpg,-103.06
555.jpg,-103.26
556.jpg,-103.26
557.jpg,-103.26
558.jpg,-103.26
559.jpg,-103.26
560.jpg,-103.26
561.jpg,-103.26
562.jpg,-103.26
563.jpg,-103.26
564.jpg,-103.26
565.jpg,-103.26
566.jpg,-103.26
567.jpg,-103.26
568.jpg,-103.26
569.jpg,-103.46
570.jpg,-103.56
571.jpg,-103.97
572.jpg,-104.47
573.jpg,-104.67
574.jpg,-104.67
575.jpg,-104.67
576.jpg,-104.67
577.jpg,-104.67
578.jpg,-104.67
579.jpg,-104.67
580.jpg,-104.67
581.jpg,-104.67
582.jpg,0.0
583.jpg,-103.26
584.jpg,-101.34
585.jpg,-99.33
586.jpg,-97.01
587.jpg,-93.88
588.jpg,0.0
589.jpg,-89.55
590.jpg,-86.32
591.jpg,-83.5
592.jpg,-80.37
593.jpg,-76.74
594.jpg,-73.61
595.jpg,-69.08
596.jpg,-64.84
597.jpg,-61.01
598.jpg,-57.88
599.jpg,-55.26
600.jpg,-51.93
601.jpg,-49.92
602.jpg,-46.08
603.jpg,-42.66
604.jpg,-39.03
605.jpg,-35.09
606.jpg,-29.95
607.jpg,-25.82
608.jpg,-20.97
609.jpg,-17.75
610.jpg,-15.93
611.jpg,-13.31
612.jpg,-11.5
613.jpg,-9.88
614.jpg,-8.37
615.jpg,-7.46
616.jpg,-6.66
617.jpg,-5.65
618.jpg,0.0
619.jpg,-5.34
620.jpg,-5.34
621.jpg,-5.14
622.jpg,-4.84
623.jpg,-4.44
624.jpg,-4.13
625.jpg,-3.43
626.jpg,-3.33
627.jpg,-3.33
628.jpg,-3.63
629.jpg,-4.24
630.jpg,-4.54
631.jpg,-4.94
632.jpg,-5.04
633.jpg,-5.04
634.jpg,-5.04
635.jpg,-5.04
636.jpg,-5.04
637.jpg,-5.04
638.jpg,-5.04
639.jpg,-5.04
640.jpg,-5.04
641.jpg,-5.04
642.jpg,-5.04
643.jpg,-5.04
644.jpg,-5.04
645.jpg,-5.04
646.jpg,-5.04
647.jpg,-5.14
648.jpg,-4.54
649.jpg,-3.93
650.jpg,-3.63
651.jpg,-3.13
652.jpg,-2.42
653.jpg,-1.61
654.jpg,-1.21
655.jpg,-1.11
656.jpg,-1.11
657.jpg,-0.81
658.jpg,0.0
659.jpg,1.01
660.jpg,2.22
661.jpg,2.32
662.jpg,2.32
663.jpg,2.22
664.jpg,1.51
665.jpg,0.0
666.jpg,-0.61
667.jpg,0.1
668.jpg,1.61
669.jpg,3.13
670.jpg,3.53
671.jpg,3.53
672.jpg,3.53
673.jpg,3.53
674.jpg,3.53
675.jpg,3.53
676.jpg,3.53
677.jpg,3.53
678.jpg,3.53
679.jpg,3.83
680.jpg,3.83
681.jpg,3.83
682.jpg,3.83
683.jpg,3.93
684.jpg,3.93
685.jpg,4.03
686.jpg,4.44
687.jpg,4.64
688.jpg,4.64
689.jpg,4.64
690.jpg,4.64
691.jpg,4.64
692.jpg,4.64
693.jpg,4.44
694.jpg,4.13
695.jpg,3.73
696.jpg,3.43
697.jpg,2.72
698.jpg,2.22
699.jpg,1.82
700.jpg,1.61
701.jpg,1.61
702.jpg,1.61
703.jpg,1.61
704.jpg,1.61
705.jpg,1.61
706.jpg,1.61
707.jpg,1.61
708.jpg,1.61
709.jpg,1.21
710.jpg,1.21
711.jpg,1.21
712.jpg,1.21
713.jpg,1.21
714.jpg,1.21
715.jpg,1.31
716.jpg,1.31
717.jpg,1.01
718.jpg,1.01
719.jpg,0.91
720.jpg,0.71
721.jpg,0.61
722.jpg,0.61
723.jpg,0.4
724.jpg,0.0
725.jpg,-0.91
726.jpg,-1.71
727.jpg,-2.52
728.jpg,-2.62
729.jpg,-2.62
730.jpg,-2.62
731.jpg,-2.62
732.jpg,-3.33
733.jpg,-3.73
734.jpg,-4.54
735.jpg,-5.24
736.jpg,-6.05
737.jpg,-6.25
738.jpg,-6.45
739.jpg,-6.66
740.jpg,-7.26
741.jpg,-7.66
742.jpg,-8.67
743.jpg,-9.78
744.jpg,-10.39
745.jpg,-10.69
746.jpg,-10.69
747.jpg,-10.69
748.jpg,-10.69
749.jpg,-10.69
750.jpg,-10.69
751.jpg,-10.89
752.jpg,-11.19
753.jpg,-12.0
754.jpg,-13.01
755.jpg,-14.42
756.jpg,-15.83
757.jpg,-17.24
758.jpg,-18.66
759.jpg,-19.97
760.jpg,-21.08
761.jpg,-22.18
762.jpg,-22.99
763.jpg,-23.5
764.jpg,-24.4
765.jpg,-25.41
766.jpg,-26.02
767.jpg,-26.62
768.jpg,-27.03
769.jpg,-27.03
770.jpg,-27.03
771.jpg,-27.03
772.jpg,-26.62
773.jpg,-25.82
774.jpg,-24.5
775.jpg,-23.09
776.jpg,-21.08
777.jpg,-18.55
778.jpg,-16.54
779.jpg,-15.23
780.jpg,-13.31
781.jpg,-11.19
782.jpg,-9.38
783.jpg,-7.87
784.jpg,-6.45
785.jpg,-5.85
786.jpg,-5.65
787.jpg,-5.45
788.jpg,-5.04
789.jpg,-3.73
790.jpg,-2.92
791.jpg,-2.72
792.jpg,-2.72
793.jpg,-2.72
794.jpg,-2.72
795.jpg,-2.72
796.jpg,-2.62
797.jpg,-2.52
798.jpg,-2.32
799.jpg,-2.22
800.jpg,-2.12
801.jpg,-2.22
802.jpg,-2.22
803.jpg,-2.22
804.jpg,-2.12
805.jpg,-2.12
806.jpg,-2.22
807.jpg,-2.32
808.jpg,-2.42
809.jpg,-2.42
810.jpg,-2.42
811.jpg,-2.42
812.jpg,-2.42
813.jpg,-2.42
814.jpg,-2.52
815.jpg,-2.52
816.jpg,-2.52
817.jpg,-2.62
818.jpg,-2.92
819.jpg,-3.03
820.jpg,-3.13
821.jpg,-3.13
822.jpg,-3.13
823.jpg,-3.13
824.jpg,-3.13
825.jpg,-3.13
826.jpg,-2.82
827.jpg,-2.22
828.jpg,-1.82
829.jpg,-1.41
830.jpg,-0.61
831.jpg,0.1
832.jpg,0.71
833.jpg,1.21
834.jpg,1.41
835.jpg,1.51
836.jpg,1.51
837.jpg,1.51
838.jpg,1.51
839.jpg,1.61
840.jpg,2.12
841.jpg,2.22
842.jpg,2.22
843.jpg,2.22
844.jpg,2.22
845.jpg,2.22
846.jpg,2.22
847.jpg,2.22
848.jpg,2.12
849.jpg,2.02
850.jpg,2.02
851.jpg,2.02
852.jpg,2.12
853.jpg,2.32
854.jpg,3.83
855.jpg,5.55
856.jpg,7.56
857.jpg,9.48
858.jpg,11.09
859.jpg,12.0
860.jpg,12.61
861.jpg,13.01
862.jpg,14.32
863.jpg,16.44
864.jpg,17.45
865.jpg,17.65
866.jpg,17.55
867.jpg,18.35
868.jpg,20.67
869.jpg,22.79
870.jpg,29.45
871.jpg,37.31
872.jpg,42.25
873.jpg,49.41
874.jpg,58.39
875.jpg,65.65
876.jpg,72.5
877.jpg,78.25
878.jpg,0.0
879.jpg,89.85
880.jpg,94.79
881.jpg,98.32
882.jpg,104.07
883.jpg,108.4
884.jpg,112.74
885.jpg,116.77
886.jpg,120.61
887.jpg,125.34
888.jpg,129.08
889.jpg,133.82
890.jpg,136.34
891.jpg,139.26
892.jpg,141.78
893.jpg,143.19
894.jpg,146.22
895.jpg,147.23
896.jpg,149.75
897.jpg,152.16
898.jpg,153.68
899.jpg,155.6
900.jpg,157.92
901.jpg,161.04
902.jpg,162.66
903.jpg,164.77
904.jpg,165.68
905.jpg,166.39
906.jpg,167.19
907.jpg,167.9
908.jpg,169.11
909.jpg,170.12
910.jpg,171.63
911.jpg,173.34
912.jpg,175.06
913.jpg,177.08
914.jpg,179.6
915.jpg,181.11
916.jpg,183.13
917.jpg,185.45
918.jpg,187.06
919.jpg,188.07
920.jpg,189.88
921.jpg,190.89
922.jpg,191.39
923.jpg,191.8
924.jpg,192.0
925.jpg,192.1
926.jpg,192.3
927.jpg,192.61
928.jpg,0.0
929.jpg,193.41
930.jpg,193.92
931.jpg,194.52
932.jpg,195.03
933.jpg,195.63
934.jpg,196.03
935.jpg,196.64
936.jpg,197.24
937.jpg,198.35
938.jpg,200.57
939.jpg,202.29
940.jpg,204.81
941.jpg,207.13
942.jpg,209.55
943.jpg,212.27
944.jpg,214.18
945.jpg,215.8
946.jpg,216.91
947.jpg,218.32
948.jpg,219.13
949.jpg,220.13
950.jpg,220.44
951.jpg,220.54
952.jpg,220.44
953.jpg,220.34
954.jpg,220.34
955.jpg,220.34
956.jpg,220.34
957.jpg,219.93
958.jpg,219.33
959.jpg,218.52
960.jpg,217.82
961.jpg,215.8
962.jpg,214.69
963.jpg,213.18
964.jpg,211.87
965.jpg,210.45
966.jpg,209.45
967.jpg,209.04
968.jpg,208.74
969.jpg,207.43
970.jpg,206.02
971.jpg,204.3
972.jpg,202.89
973.jpg,200.97
974.jpg,197.95
975.jpg,196.24
976.jpg,193.61
977.jpg,190.69
978.jpg,187.06
979.jpg,185.75
980.jpg,184.13
981.jpg,183.43
982.jpg,183.13
983.jpg,182.92
984.jpg,182.22
985.jpg,180.81
986.jpg,178.99
987.jpg,178.18
988.jpg,177.98
989.jpg,177.78
990.jpg,177.18
991.jpg,175.36
992.jpg,172.24
993.jpg,169.41
994.jpg,165.38
995.jpg,162.05
996.jpg,158.62
997.jpg,155.6
998.jpg,150.96
999.jpg,146.32
1000.jpg,141.38
1001.jpg,136.54
1002.jpg,131.9
1003.jpg,127.36
1004.jpg,121.41
1005.jpg,118.18
1006.jpg,114.55
1007.jpg,109.92
1008.jpg,105.58
1009.jpg,98.72
1010.jpg,95.6
1011.jpg,0.0
1012.jpg,88.54
1013.jpg,85.21
1014.jpg,81.58
1015.jpg,77.65
1016.jpg,74.02
1017.jpg,70.49
1018.jpg,67.56
1019.jpg,65.65
1020.jpg,61.51
1021.jpg,59.7
1022.jpg,57.58
1023.jpg,54.76
1024.jpg,0.0
1025.jpg,52.64
1026.jpg,52.44
1027.jpg,51.83
1028.jpg,49.92
1029.jpg,45.18
1030.jpg,41.14
1031.jpg,38.42
1032.jpg,37.11
1033.jpg,36.4
1034.jpg,0.0
1035.jpg,33.78
1036.jpg,32.57
1037.jpg,30.86
1038.jpg,29.75
1039.jpg,28.54
1040.jpg,27.03
1041.jpg,26.12
1042.jpg,25.31
1043.jpg,24.91
1044.jpg,24.3
1045.jpg,23.6
1046.jpg,22.39
1047.jpg,21.18
1048.jpg,19.87
1049.jpg,18.15
1050.jpg,16.64
1051.jpg,15.03
1052.jpg,13.21
1053.jpg,11.8
1054.jpg,10.89
1055.jpg,9.28
1056.jpg,8.27
1057.jpg,7.26
1058.jpg,6.76
1059.jpg,6.35
1060.jpg,5.95
1061.jpg,5.75
1062.jpg,5.65
1063.jpg,5.65
1064.jpg,0.0
1065.jpg,5.65
1066.jpg,5.65
1067.jpg,5.75
1068.jpg,5.85
1069.jpg,6.05
1070.jpg,6.25
1071.jpg,6.55
1072.jpg,6.86
1073.jpg,6.96
1074.jpg,7.06
1075.jpg,7.06
1076.jpg,7.36
1077.jpg,8.07
1078.jpg,8.87
1079.jpg,9.98
1080.jpg,11.09
1081.jpg,12.71
1082.jpg,13.92
1083.jpg,14.82
1084.jpg,16.03
1085.jpg,17.24
1086.jpg,18.35
1087.jpg,19.36
1088.jpg,20.07
1089.jpg,20.57
1090.jpg,20.77
1091.jpg,20.87
1092.jpg,21.08
1093.jpg,21.38
1094.jpg,21.38
1095.jpg,21.38
1096.jpg,21.48
1097.jpg,21.48
1098.jpg,21.28
1099.jpg,21.08
1100.jpg,20.67
1101.jpg,20.37
1102.jpg,20.07
1103.jpg,19.66
1104.jpg,19.06
1105.jpg,18.55
1106.jpg,18.05
1107.jpg,17.75
1108.jpg,17.04
1109.jpg,15.93
1110.jpg,14.72
1111.jpg,13.41
1112.jpg,13.21
1113.jpg,13.31
1114.jpg,13.31
1115.jpg,13.31
1116.jpg,13.31
1117.jpg,13.21
1118.jpg,13.01
1119.jpg,0.0
1120.jpg,12.81
1121.jpg,12.71
1122.jpg,12.5
1123.jpg,0.0
1124.jpg,11.8
1125.jpg,11.39
1126.jpg,11.09
1127.jpg,10.79
1128.jpg,10.59
1129.jpg,10.39
1130.jpg,9.98
1131.jpg,9.58
1132.jpg,9.08
1133.jpg,8.67
1134.jpg,8.27
1135.jpg,8.27
1136.jpg,8.27
1137.jpg,8.27
1138.jpg,8.27
1139.jpg,8.07
1140.jpg,7.56
1141.jpg,0.0
1142.jpg,0.0
1143.jpg,5.45
1144.jpg,4.94
1145.jpg,4.84
1146.jpg,4.84
1147.jpg,4.84
1148.jpg,4.84
1149.jpg,4.84
1150.jpg,5.04
1151.jpg,5.14
1152.jpg,5.14
1153.jpg,5.24
1154.jpg,5.24
1155.jpg,5.24
1156.jpg,5.24
1157.jpg,5.24
1158.jpg,5.24
1159.jpg,5.24
1160.jpg,5.24
1161.jpg,5.34
1162.jpg,5.55
1163.jpg,5.65
1164.jpg,5.65
1165.jpg,5.65
1166.jpg,5.65
1167.jpg,5.65
1168.jpg,5.65
1169.jpg,5.65
1170.jpg,5.65
1171.jpg,5.65
1172.jpg,5.75
1173.jpg,5.85
1174.jpg,5.85
1175.jpg,5.85
1176.jpg,5.85
1177.jpg,6.15
1178.jpg,6.25
1179.jpg,6.25
1180.jpg,6.25
1181.jpg,6.25
1182.jpg,6.25
1183.jpg,6.25
1184.jpg,6.25
1185.jpg,6.25
1186.jpg,6.25
1187.jpg,4.94
1188.jpg,2.72
1189.jpg,0.5
1190.jpg,-2.52
1191.jpg,-4.54
1192.jpg,-6.15
1193.jpg,-7.46
1194.jpg,-8.47
1195.jpg,-9.48
1196.jpg,-9.98
1197.jpg,-10.69
1198.jpg,-11.09
1199.jpg,-11.09
1200.jpg,-11.09
1201.jpg,-11.19
1202.jpg,-11.5
1203.jpg,-11.7
1204.jpg,-11.8
1205.jpg,-11.8
1206.jpg,-11.6
1207.jpg,-11.39
1208.jpg,-11.39
1209.jpg,-11.39
1210.jpg,-11.39
1211.jpg,-10.79
1212.jpg,-10.29
1213.jpg,-9.98
1214.jpg,-9.88
1215.jpg,-9.88
1216.jpg,-9.88
1217.jpg,-9.78
1218.jpg,-9.78
1219.jpg,-9.68
1220.jpg,-9.58
1221.jpg,-9.48
1222.jpg,-8.97
1223.jpg,-8.07
1224.jpg,-6.55
1225.jpg,-4.94
1226.jpg,-3.23
1227.jpg,-1.51
1228.jpg,0.5
1229.jpg,2.72
1230.jpg,4.24
1231.jpg,6.45
1232.jpg,9.38
1233.jpg,11.29
1234.jpg,13.21
1235.jpg,15.83
1236.jpg,18.15
1237.jpg,21.18
1238.jpg,24.81
1239.jpg,28.84
1240.jpg,33.28
1241.jpg,0.0
1242.jpg,43.36
1243.jpg,47.7
1244.jpg,52.64
1245.jpg,56.87
1246.jpg,60.1
1247.jpg,67.06
1248.jpg,71.9
1249.jpg,76.74
1250.jpg,81.58
1251.jpg,86.02
1252.jpg,91.16
1253.jpg,97.82
1254.jpg,103.66
1255.jpg,107.39
1256.jpg,113.55
1257.jpg,118.59
1258.jpg,123.52
1259.jpg,129.38
1260.jpg,137.53
1261.jpg,141.98
1262.jpg,148.13
1263.jpg,155.39
1264.jpg,161.04
1265.jpg,166.69
1266.jpg,172.34
1267.jpg,178.08
1268.jpg,186.76
1269.jpg,189.68
1270.jpg,194.12
1271.jpg,197.24
1272.jpg,200.67
1273.jpg,203.5
1274.jpg,204.91
1275.jpg,205.31
1276.jpg,205.71
1277.jpg,206.62
1278.jpg,208.24
1279.jpg,210.35
1280.jpg,213.28
1281.jpg,214.89
1282.jpg,217.11
1283.jpg,219.33
1284.jpg,220.84
1285.jpg,222.25
1286.jpg,223.46
1287.jpg,224.47
1288.jpg,225.08
1289.jpg,225.08
1290.jpg,0.0
1291.jpg,227.6
1292.jpg,227.9
1293.jpg,227.8
1294.jpg,227.09
1295.jpg,225.48
1296.jpg,222.96
1297.jpg,217.82
1298.jpg,212.87
1299.jpg,208.84
1300.jpg,202.69
1301.jpg,196.84
1302.jpg,192.3
1303.jpg,185.85
1304.jpg,176.97
1305.jpg,167.29
1306.jpg,159.55
1307.jpg,151.97
1308.jpg,145.01
1309.jpg,138.66
1310.jpg,0.0
1311.jpg,128.57
1312.jpg,124.03
1313.jpg,118.99
1314.jpg,114.96
1315.jpg,110.32
1316.jpg,103.66
